| # | Plot Title | Plot Type | Insights |
|---|-----------|-----------|----------|
| 1 | InceptionV3 – Confusion Matrix (Raw Counts) | Heatmap | nv: 743 correct; 121 misclassified as mel; mel: 80 correct; 35 shifted to nv; df weakest with 4 correct; vasc: 23 correct with minimal errors |
| 2 | InceptionV3 – Training and Validation Loss | Line Chart | Training loss drops from 1.20 to 0.49; validation loss oscillates 0.85–1.10; divergence after epoch 8–11 indicates mild overfitting |
| 3 | InceptionV3 – Per-Class Precision, Recall, F1-Score | Grouped Bar Chart | NV: precision 92.3%, recall 75.1%, F1 82.8%; VASC: F1 76.7%; MEL: recall 47.34%, precision 32.00%; DF weakest at ~24% F1 |
| 4 | InceptionV3 – ROC Curves (One-vs-Rest) | Line Chart | VASC AUC 0.993; AKIEC 0.937; BCC 0.934; NV 0.910; DF 0.856; BKL 0.842; MEL lowest at 0.804; Micro-AUC 0.941 |
| 5 | EfficientNet-B0 – Confusion Matrix (Raw Counts) | Heatmap | NV: 762 correct; 133 misclassified as mel; MEL: 104 correct; BCC: 58 correct; DF: 4 correct; VASC: 20 correct |
| 6 | EfficientNet-B0 – Training and Validation Loss | Line Chart | Training loss 1.10 to 0.36; validation minimum ~0.74 at epoch 10; mild overfitting after epoch 11 |
| 7 | EfficientNet-B0 – Per-Class Precision, Recall, F1-Score | Grouped Bar Chart | NV: precision 93.84%, recall 77.05%, F1 84.62%; BCC F1 60.73%; MEL recall 61.54% precision 35.62%; DF F1 21.05% |
| 8 | EfficientNet-B0 – ROC Curves (One-vs-Rest) | Line Chart | VASC AUC 0.993; BCC 0.970; AKIEC 0.934; NV 0.932; DF 0.903; BKL 0.878; MEL 0.856; Micro-AUC 0.955 |
| 9 | Xception – Confusion Matrix (Raw Counts) | Heatmap | NV: strong with 80.99% recall; MEL: 50.89% recall F1 42.68%; BKL: 71.98% recall; DF remains weak |
| 10 | Xception – Training and Validation Loss | Line Chart | Stable convergence; validation loss controlled; mild gap between training and validation post epoch 10 |
| 11 | Xception – Per-Class Precision, Recall, F1-Score | Grouped Bar Chart | NV: 92.17% precision, 80.99% recall, 86.22% F1; MEL: recall 50.89%; overall weighted F1 75.47% |
| 12 | Xception – ROC Curves (One-vs-Rest) | Line Chart | Micro-AUC ~0.962; VASC and BCC highest; MEL remains challenging |
| 13 | ConvNeXt-Tiny – Confusion Matrix (Raw Counts) | Heatmap | MEL: 99 correct out of 169; NV: 834 correct; BKL: 128 correct; 39 melanoma cases shifted to NV |
| 14 | ConvNeXt-Tiny – Training and Validation Loss | Line Chart | Smooth training convergence; best generalisation among all four models; validation loss stable post epoch 10 |
| 15 | ConvNeXt-Tiny – Per-Class Precision, Recall, F1-Score | Grouped Bar Chart | NV: 92.26% precision, 84.33% recall, 88.11% F1; VASC: 83.02% F1; MEL: 58.58% recall, 49.01% F1; DF: 40.0% F1 |
| 16 | ConvNeXt-Tiny – ROC Curves (One-vs-Rest) | Line Chart | Micro-AUC 0.9665; highest overall; MEL improved vs all other models |
| 17 | Model Accuracy Comparison | Bar Chart | InceptionV3: 66.58%; EfficientNet-B0: 70.48%; Xception: 74.17%; ConvNeXt-Tiny: 77.34% — steady progression |
| 18 | Precision / Recall / F1 Comparison | Grouped Bar Chart | Will be taken from table |
| 19 | Training Time Comparison (Dot Plot) | Dot/Lollipop Plot | EfficientNet-B0: 46.9 min; InceptionV3: ~47.5 min; ConvNeXt-Tiny: 48.9 min; Xception: 49.9 min — minimal variation |
| 20 | Precision–Recall Curve Comparison | Multi-Line Chart | ConvNeXt-Tiny AP=0.862; Xception AP=0.846; EfficientNet-B0 AP=0.817; InceptionV3 AP=0.771 |

Iterative model development and design exploration inevitably involved approaches that underperformed before arriving at the final optimised pipeline, offering important lessons in architectural and methodological decision-making.

**Training from Scratch (No Transfer Learning):** An early design iteration attempted to train InceptionV3 and a simple CNN without ImageNet-pretrained weights. Without pretrained feature representations, models failed to converge meaningfully within 20 epochs on the relatively small HAM10000 training set, producing accuracy values below 50% and heavily biased toward the dominant nv class. The absence of pretrained inductive biases made it computationally infeasible to learn discriminative dermatoscopic features from limited data, confirming that transfer learning is non-negotiable for this domain.

**Image-Level Train-Test Split:** Initial experiments used image-level stratified random splitting rather than lesion-ID-based partitioning. This approach introduced patient-level data leakage, as multiple images of the same lesion appeared in both training and test sets, artificially inflating accuracy estimates by 3–5 percentage points. Upon discovering the redundant lesion images tracked by lesion_id in the metadata, the split strategy was corrected to lesion-level partitioning, producing more realistic and lower — but clinically meaningful — performance estimates.

**Single-Step Preprocessing:** Early iterations applied only CLAHE without DullRazor hair removal or colour normalisation, resulting in the model learning spurious hair-texture features correlated with lesion labels rather than genuine pigmentation patterns. This produced high precision on the majority class but degraded melanoma recall, confirming that sequential multi-step preprocessing is necessary rather than optional. Applying preprocessing steps in a non-sequential or partial manner yielded visually distorted images when CLAHE was applied before hair removal, generating high-contrast artefacts around hair strands that confused the convolutional feature extractor.
