keywords,title,references,citation
Binary Classification Eczema vs Non-Eczema,Enhanced Deep Learning Approach for Accurate Eczema and Psoriasis Skin Detection,"Hammad, M., Pławiak, P., ElAffendi, M., Abd El-Latif, A.A. and Abdel Latif, A.A. (2023) 'Enhanced deep learning approach for accurate eczema and psoriasis skin detection', Sensors, 23(16), p. 7295. doi: 10.3390/s23167295.","(Hammad et al., 2023)"
CLAHE Preprocessing Medical Imaging,Reducing the Impact of Confounding Factors on Skin Cancer Classification via Image Segmentation: Technical Model Study,"Maron, R.C., Hekler, A., Krieghoff-Henning, E., Schmitt, M., Schlager, J.G., Utikal, J.S. and Brinker, T.J. (2021) 'Reducing the impact of confounding factors on skin cancer classification via image segmentation: technical model study', Journal of Medical Internet Research, 23(3), e21695. doi: 10.2196/21695.","(Maron et al., 2021)"
Class Imbalance Augmentation Skin Lesion,A Low-Cost High-Performance Data Augmentation for Deep Learning-Based Skin Lesion Classification,"Shen, S., Xu, M., Zhang, F., Shao, P., Liu, H., Xu, L., Zhang, C., Liu, P., Yao, P. and Xu, R.X. (2022) 'A low-cost high-performance data augmentation for deep learning-based skin lesion classification', BME Frontiers, 2022, p. 9765307. doi: 10.34133/2022/9765307.","(Shen et al., 2022)"
Deep Learning Dermatology Systematic Review,"Deep Learning in Dermatology: A Systematic Review of Current Approaches, Outcomes, and Limitations","Jeong, H.K., Park, C., Henao, R. and Kheterpal, M. (2022) 'Deep learning in dermatology: a systematic review of current approaches, outcomes, and limitations', JID Innovations, 3(1), p. 100150. doi: 10.1016/j.xjidi.2022.100150.","(Jeong et al., 2022)"
Dermoscopic Dataset Benchmarking ISIC,Analysis and Benchmarking of ISIC Image Datasets for Skin Lesion Classification,"Cassidy, B. and Yap, M.H. (2022) 'Analysis and benchmarking of ISIC image datasets for skin lesion classification', Medical Image Analysis, 75, p. 102305. doi: (See publisher record).","(Cassidy and Yap, 2022)"
EfficientNet Modified Architecture Skin Cancer,A Deep Neural Network Using Modified EfficientNet for Skin Cancer Detection in Dermoscopic Images,"Venugopal, V., Raj, N.I., Nath, M.K. and Stephen, N. (2023) 'A deep neural network using modified EfficientNet for skin cancer detection in dermoscopic images', Decision Analytics Journal, 8, p. 100278. doi: 10.1016/j.dajour.2023.100278.","(Venugopal et al., 2023)"
EfficientNetB0 Transfer Learning Medical Images,Enhancing Skin Cancer Classification Using EfficientNet B0–B7 Through Convolutional Neural Networks and Transfer Learning,"Kanchana, K. (2024) 'Enhancing skin cancer classification using EfficientNet B0–B7 through convolutional neural networks and transfer learning with patient-specific data', BME Frontiers. Available at: https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11318802/ (Accessed: 24 March 2026).","(Kanchana, 2024)"
Ensemble Multi-Level Attention Transfer Learning,A Multi-Level Ensemble Approach for Skin Lesion Classification Using Customized Transfer Learning with Triple Attention,"Efat, A.H., Hasan, S.M.M., Uddin, M.P. and Mamun, M.A. (2024) 'A multi-level ensemble approach for skin lesion classification using customized transfer learning with triple attention', PLOS ONE, 19(10), e0309430. doi: 10.1371/journal.pone.0309430.","(Efat et al., 2024)"
Explainability Grad-CAM Skin Lesion,SkiNet: A Deep Learning Framework for Skin Lesion Diagnosis with Uncertainty Estimation and Explainability,"Singh, R.K., Gorantla, R., Allada, S.G.R. and Narra, P. (2022) 'SkiNet: a deep learning framework for skin lesion diagnosis with uncertainty estimation and explainability', PLOS ONE, 17(10), e0276836. doi: 10.1371/journal.pone.0276836.","(Singh et al., 2022)"
Flask Web Application Deep Learning Deployment,Skin Lesion Classification on Dermatoscopic Images Using Effective Data Augmentation and Pre-Trained Deep Learning Approach,"Bozkurt, F. (2023) 'Skin lesion classification on dermatoscopic images using effective data augmentation and pre-trained deep learning approach', Multimedia Tools and Applications, 82, pp. 18985–19003. doi: 10.1007/s11042-022-14095-1.","(Bozkurt, 2023)"
GAN Data Augmentation Skin Lesion Segmentation,Generative Adversarial Networks Based Skin Lesion Segmentation,"Innani, S., Dutande, P., Baid, U., Pokuri, V., Talbar, S., Bakas, S., Baheti, B. and Guntuku, S.C. (2023) 'Generative adversarial networks based skin lesion segmentation', Scientific Reports, 13. doi: 10.1038/s41598-023-39648-8.","(Innani et al., 2023)"
Hybrid CNN Feature Fusion Eczema,Automatic Eczema Classification in Clinical Images Based on Hybrid Deep Neural Network,"Rasheed, A., Umar, A.I., Shirazi, S.H., Khan, Z., Nawaz, S. and Shahzad, M. (2022) 'Automatic eczema classification in clinical images based on hybrid deep neural network', Computers in Biology and Medicine, 147, p. 105807. doi: 10.1016/j.compbiomed.2022.105807.","(Rasheed et al., 2022)"
ResNet50 Skin Disease Classification,An Integrated Deep Learning Model with EfficientNet and ResNet for Accurate Multi-Class Skin Disease Classification,"Alshahrani, M., Al-Jabbar, M., Senan, E.M., Ahmed, I.A. and Mohammed Saif, J.A. (2024) 'Analysis of dermoscopy images of multi-class for early detection of skin lesions by hybrid systems based on integrating features of CNN models', PLOS ONE, 19(3), e0298305. doi: 10.1371/journal.pone.0298305.","(Alshahrani et al., 2024)"
Transfer Learning for Dermoscopic Classification,Enhancing Dermatological Diagnostics with EfficientNet: A Deep Learning Approach,"Manole, I., Butacu, A.-I., Bejan, R.N. and Tiplica, G.-S. (2024) 'Enhancing dermatological diagnostics with EfficientNet: a deep learning approach', Bioengineering (Basel), 11(8), p. 810. doi: 10.3390/bioengineering11080810.","(Manole et al., 2024)"
